County,TotalPop,White,White_Percent,Black,Black_Percent,NativeAm,Native_Percent,Asian,Asian_Percent,Hawaiian,Hawaiian_Percent,Other,Other_Percent,Mix,Mix_Percent,Hispanic,Hispanic_Percent,Abbott-R,Abbott_Percent,Davis-D,Davis_Percent,Glass-L,Glass_Percent,Parmer-G,Pavitt-I,Total,Total,TurnOut%
Anderson,58458,35792,61.2268637312258,12222,20.907318074515,192,0.536432722396066,283,0.484108248657156,16,0.0273700776625954,37,0.0632933045947518,629,1.07598617811078,9287,15.8866194532827,7732,13.2265900304492,2286,3.91049984604331,141,0.241198809401622,54,0,10213,26938,37.91%
Andrews,14786,7083,47.9034221560936,199,1.3458677127012,95,1.34123958774531,85,0.574868118490464,1,0.00676315433518193,17,0.114973623698093,111,0.750710131205194,7195,48.660895441634,1988,13.4451508183417,203,1.37292033004193,25,0.169078858379548,5,0,2221,8521,26.07%
Angelina,86771,54889,63.2573094697537,12840,14.7975706169112,255,0.464573958352311,744,0.857429325465881,9,0.0103721289370873,94,0.108331124454023,795,0.916204722776043,17145,19.7589056251513,12940,14.9128164939899,3686,4.24796302912263,131,0.150972098973159,42,3,16802,49862,33.7%
Aransas,23158,16350,70.60195180931,258,1.11408584506434,118,0.7217125382263,443,1.91294585024614,5,0.0215908109508593,21,0.0906814059936091,273,1.17885827791692,5690,24.5703428620779,4460,19.2590033681665,1480,6.39088004145436,90,0.388634597115468,35,5,6070,15804,38.41%
Archer,9054,8182,90.3688977247625,34,0.375524629997791,47,0.574431679296016,18,0.198807157057654,3,0.0331345261762757,4,0.0441793682350342,91,1.00508062734703,675,7.45526838966203,2297,25.3700022089684,302,3.33554230174508,26,0.287165893527723,11,0,2636,6290,41.91%
Armstrong,1901,1725,90.7417148869016,11,0.578642819568648,13,0.753623188405797,0,0,0,0,11,0.578642819568648,17,0.894266175697002,124,6.52288269331931,502,26.4071541294056,59,3.10362966859548,9,0.47343503419253,1,0,571,1329,42.96%
Atascosa,44911,16295,36.282870566231,256,0.570016254369753,143,0.877569806689169,130,0.28946137917214,14,0.0311727639108459,43,0.0957449177261695,245,0.545523368439803,27785,61.8668032330609,4760,10.5987397296876,2589,5.76473469751286,77,0.171450201509652,37,2,7465,24575,30.38%
Austin,28417,18657,65.6543618256677,2622,9.22687123904705,79,0.42343356380983,110,0.387092233522187,1,0.00351902030474716,36,0.126684730970898,271,0.95365450258648,6641,23.3698138438259,5813,20.4560650314952,1252,4.40581342154344,81,0.28504064468452,29,7,7182,18562,38.69%
Bailey,7165,2745,38.31123517097,67,0.935101186322401,16,0.58287795992714,23,0.321004884856944,0,0,2,0.0279134682484299,29,0.404745289602233,4283,59.7766922540126,868,12.1144452198186,130,1.81437543614794,4,0.0558269364968597,2,0,1004,3527,28.47%
Bandera,20485,16576,80.9177446912375,90,0.439345862826458,121,0.729971042471042,55,0.268489138393947,0,0,18,0.0878691725652917,210,1.02514034659507,3415,16.6707346839151,4911,23.9736392482304,1257,6.1361972174762,146,0.712716621918477,32,0,6346,14845,42.75%
Bastrop,74171,42446,57.2272181850049,5535,7.46248533793531,315,0.74211939876549,449,0.605357889201979,54,0.0728047350042469,115,0.155047120842378,1067,1.43856763425058,24190,32.6138248102358,9803,13.2167558749376,6566,8.85251648218306,489,0.659287322538458,98,5,16961,42505,39.9%
Baylor,3726,3147,84.4605475040258,71,1.90552871712292,10,0.317762948840165,4,0.107353730542136,3,0.0805152979066023,1,0.0268384326355341,35,0.939345142243693,455,12.211486849168,700,18.7869028448739,134,3.59634997316157,6,0.161030595813205,4,0,844,2511,33.61%
Bee,31861,10967,34.4213929255202,2525,7.92504943347666,70,0.638278471778973,162,0.508458617118107,10,0.0313863343900066,38,0.119268070682025,183,0.574369919337121,17906,56.2003703587458,2972,9.32801858070996,2128,6.6790119581934,97,0.304447443583064,29,0,5226,15113,34.58%
Bell,310235,157289,50.6999532612375,63380,20.4296742791755,1484,0.943486194203028,8350,2.69150805034893,2245,0.723644978806389,500,0.161168146727481,9977,3.21594919980015,67010,21.599755024417,28778,9.27619385304688,14412,4.64551066127291,602,0.194046448659887,157,34,43983,168877,26.04%
Bexar,1714773,519123,30.273569737802,118460,6.90820300996108,3809,0.733737476474747,39561,2.30706921557547,1806,0.105320062772157,2881,0.168010576327012,22175,1.29317408193388,1006958,58.7225247889954,149697,8.72984354197319,145711,8.49739294938747,4079,0.237874050967679,1298,165,300950,957110,31.44%
